Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
QCL,Crops and livestock products,562,Niger,5419,Yield,1520.01,"Cassava, fresh",1988,1988,100 g/ha,81818,E,Estimated value,
QCL,Crops and livestock products,562,Niger,5510,Production,1520.01,"Cassava, fresh",1988,1988,t,180000,E,Estimated value,
QCL,Crops and livestock products,562,Niger,5312,Area harvested,1520.01,"Cassava, fresh",1989,1989,ha,19000,E,Estimated value,
QCL,Crops and livestock products,562,Niger,5419,Yield,1520.01,"Cassava, fresh",1989,1989,100 g/ha,84211,E,Estimated value,
QCL,Crops and livestock products,562,Niger,5510,Production,1520.01,"Cassava, fresh",1989,1989,t,160000,E,Estimated value,
QCL,Crops and livestock products,562,Niger,5312,Area harvested,1520.01,"Cassava, fresh",1990,1990,ha,16000,E,Estimated value,
QCL,Crops and livestock products,562,Niger,5419,Yield,1520.01,"Cassava, fresh",1990,1990,100 g/ha,88688,E,Estimated value,
QCL,Crops and livestock products,562,Niger,5510,Production,1520.01,"Cassava, fresh",1990,1990,t,141900,A,Official figure,
QCL,Crops and livestock products,562,Niger,5312,Area harvested,1520.01,"Cassava, fresh",1991,1991,ha,13000,E,Estimated value,
QCL,Crops and livestock products,562,Niger,5419,Yield,1520.01,"Cassava, fresh",1991,1991,100 g/ha,97154,E,Estimated value,
QCL,Crops and livestock products,562,Niger,5510,Production,1520.01,"Cassava, fresh",1991,1991,t,126300,X,Figure from international organizations,Unofficial figure
QCL,Crops and livestock products,562,Niger,5312,Area harvested,1520.01,"Cassava, fresh",1992,1992,ha,7000,E,Estimated value,
QCL,Crops and livestock products,562,Niger,5419,Yield,1520.01,"Cassava, fresh",1992,1992,100 g/ha,109000,E,Estimated value,
QCL,Crops and livestock products,562,Niger,5510,Production,1520.01,"Cassava, fresh",1992,1992,t,76300,X,Figure from international organizations,Unofficial figure
QCL,Crops and livestock products,562,Niger,5312,Area harvested,1520.01,"Cassava, fresh",1993,1993,ha,10000,E,Estimated value,
QCL,Crops and livestock products,562,Niger,5419,Yield,1520.01,"Cassava, fresh",1993,1993,100 g/ha,116500,E,Estimated value,
QCL,Crops and livestock products,562,Niger,5510,Production,1520.01,"Cassava, fresh",1993,1993,t,116500,X,Figure from international organizations,Unofficial figure
QCL,Crops and livestock products,562,Niger,5312,Area harvested,1520.01,"Cassava, fresh",1994,1994,ha,5500,E,Estimated value,
QCL,Crops and livestock products,562,Niger,5419,Yield,1520.01,"Cassava, fresh",1994,1994,100 g/ha,118909,E,Estimated value,
QCL,Crops and livestock products,562,Niger,5510,Production,1520.01,"Cassava, fresh",1994,1994,t,65400,X,Figure from international organizations,Unofficial figure
QCL,Crops and livestock products,562,Niger,5312,Area harvested,1520.01,"Cassava, fresh",1995,1995,ha,6000,E,Estimated value,
QCL,Crops and livestock products,562,Niger,5419,Yield,1520.01,"Cassava, fresh",1995,1995,100 g/ha,129500,E,Estimated value,
QCL,Crops and livestock products,562,Niger,5510,Production,1520.01,"Cassava, fresh",1995,1995,t,77700,X,Figure from international organizations,Unofficial figure
QCL,Crops and livestock products,562,Niger,5312,Area harvested,1520.01,"Cassava, fresh",1996,1996,ha,7400,E,Estimated value,
QCL,Crops and livestock products,562,Niger,5419,Yield,1520.01,"Cassava, fresh",1996,1996,100 g/ha,129865,E,Estimated value,
